Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
Gonzaga Bulldogs,.521,.395,.751,10.382352941176471,27.0,14.470588235294118,6.235294117647059,3.6176470588235294,13.911764705882353,19.235294117647058,1
Holy Cross Crusaders,.475,.351,.734,11.352941176470589,20.735294117647058,13.617647058823529,9.529411764705882,3.6176470588235294,15.323529411764707,18.264705882352942,1
Illinois Fighting Illini,.482,.349,.624,12.485714285714286,22.685714285714287,13.942857142857143,5.857142857142857,2.8285714285714287,14.028571428571428,17.257142857142856,1
Indiana Hoosiers,.485,.381,.710,11.71875,22.09375,13.25,6.4375,4.375,12.375,20.53125,2
Jackson State Tigers,.460,.313,.711,13.428571428571429,22.285714285714285,13.4,8.257142857142858,3.057142857142857,15.342857142857143,20.685714285714287,1
Kansas Jayhawks,.528,.396,.660,12.789473684210526,26.86842105263158,17.13157894736842,9.210526315789474,6.473684210526316,14.18421052631579,18.894736842105264,4
Kentucky Wildcats,.541,.355,.703,10.882352941176471,25.441176470588236,15.794117647058824,5.911764705882353,4.735294117647059,14.5,16.08823529411765,2
Long Beach State 49ers,.500,.375,.702,12.8125,23.78125,14.1875,7.40625,2.84375,13.90625,17.5,1
Louisville Cardinals,.498,.333,.678,13.411764705882353,23.323529411764707,14.558823529411764,7.382352941176471,4.235294117647059,12.764705882352942,20.529411764705884,2
Marquette Golden Eagles,.488,.333,.669,14.352941176470589,22.441176470588236,13.970588235294118,8.676470588235293,3.3823529411764706,14.588235294117647,20.323529411764707,1
Maryland Terrapins,.509,.385,.695,12.852941176470589,26.11764705882353,17.264705882352942,7.4411764705882355,6.852941176470588,16.0,18.0,2
Memphis Tigers,.512,.351,.621,14.864864864864865,24.81081081081081,14.513513513513514,9.297297297297296,5.864864864864865,13.324324324324325,19.783783783783782,4
Miami (OH) RedHawks,.521,.333,.709,7.878787878787879,22.363636363636363,12.757575757575758,5.666666666666667,4.090909090909091,13.151515151515152,16.96969696969697,1
Michigan State Spartans,.506,.374,.718,11.257142857142858,23.514285714285716,16.0,5.142857142857143,4.628571428571429,14.885714285714286,18.62857142857143,2
Nevada Wolf Pack,.520,.406,.756,11.735294117647058,26.5,16.735294117647058,5.382352941176471,4.352941176470588,13.264705882352942,16.794117647058822,2
New Mexico State Aggies,.513,.388,.657,13.5,24.294117647058822,13.882352941176471,7.117647058823529,2.764705882352941,16.852941176470587,20.529411764705884,1
Niagara Purple Eagles,.464,.343,.731,14.771428571428572,23.571428571428573,13.342857142857143,6.4,1.5714285714285714,13.514285714285714,17.457142857142856,1
UNC Tar Heels,.546,.358,.712,13.736842105263158,27.07894736842105,18.31578947368421,8.131578947368421,4.552631578947368,13.789473684210526,17.026315789473685,4
Notre Dame Fighting Irish,.503,.390,.743,12.65625,25.75,17.25,8.46875,3.4375,12.9375,18.1875,1
Ohio State Buckeyes,.536,.361,.703,11.102564102564102,24.53846153846154,14.948717948717949,6.794871794871795,5.589743589743589,11.35897435897436,13.692307692307692,6
Old Dominion Monarchs,.481,.347,.722,12.121212121212121,24.484848484848484,14.636363636363637,7.636363636363637,3.4545454545454546,12.303030303030303,18.78787878787879,1
Oral Roberts Golden Eagles,.516,.361,.711,10.941176470588236,24.470588235294116,13.5,6.235294117647059,4.529411764705882,15.088235294117647,17.676470588235293,1
Oregon Ducks,.497,.390,.761,11.675675675675675,22.72972972972973,13.864864864864865,6.864864864864865,2.0,12.45945945945946,16.37837837837838,4
Penn Quakers,.544,.362,.664,10.451612903225806,22.580645161290324,17.387096774193548,8.483870967741936,2.967741935483871,13.96774193548387,18.483870967741936,1
Pitt Panthers,.510,.382,.661,12.027027027027026,23.64864864864865,17.486486486486488,5.243243243243243,3.5945945945945947,11.91891891891892,16.56756756756757,3
Purdue Boilermakers,.511,.357,.678,11.411764705882353,21.558823529411764,13.676470588235293,7.911764705882353,2.6176470588235294,13.970588235294118,19.823529411764707,2
Southern Illinois Salukis,.494,.366,.693,9.61111111111111,20.27777777777778,11.5,6.583333333333333,3.2222222222222223,14.0,20.22222222222222,3
Stanford Cardinal,.487,.349,.682,12.741935483870968,25.741935483870968,14.838709677419354,4.645161290322581,5.935483870967742,14.806451612903226,18.419354838709676,1
Tennessee Volunteers,.506,.365,.653,13.514285714285714,22.314285714285713,15.6,9.6,3.085714285714286,14.17142857142857,20.114285714285714,3
Texas A&M Aggies,.528,.422,.716,10.147058823529411,25.41176470588235,17.38235294117647,6.588235294117647,3.264705882352941,12.205882352941176,19.5,3
Texas Longhorns,.477,.389,.736,13.771428571428572,25.97142857142857,13.685714285714285,7.485714285714286,5.628571428571429,12.4,17.457142857142856,2
Texas Tech Red Raiders,.469,.412,.739,9.441176470588236,21.205882352941178,13.294117647058824,6.794117647058823,1.8235294117647058,11.647058823529411,17.41176470588235,1
UCLA Bruins,.532,.376,.662,10.722222222222221,21.444444444444443,14.083333333333334,7.305555555555555,3.2222222222222223,12.222222222222221,15.805555555555555,5
UNLV Rebels,.493,.360,.716,12.432432432432432,22.513513513513512,14.81081081081081,7.8108108108108105,5.324324324324325,11.08108108108108,18.10810810810811,3
USC Trojans,.504,.396,.715,9.432432432432432,25.08108108108108,12.756756756756756,5.5675675675675675,4.0,14.594594594594595,17.83783783783784,3
Vanderbilt Commodores,.514,.376,.729,10.176470588235293,23.529411764705884,17.0,7.5588235294117645,2.735294117647059,12.411764705882353,17.176470588235293,3
VCU Rams,.482,.401,.728,12.2,21.085714285714285,13.571428571428571,7.6571428571428575,3.0285714285714285,11.257142857142858,18.37142857142857,2
Vermont Catamounts,.483,.364,.672,14.606060606060606,26.12121212121212,13.606060606060606,5.242424242424242,4.121212121212121,16.03030303030303,18.0,1
Virginia Cavaliers,.481,.364,.742,13.1875,25.8125,12.875,4.65625,3.21875,13.65625,20.125,2
Virginia Tech Hokies,.500,.363,.660,10.764705882352942,22.5,13.205882352941176,8.382352941176471,4.676470588235294,10.911764705882353,18.205882352941178,2
Washington State Cougars,.504,.372,.717,7.970588235294118,22.705882352941178,13.882352941176471,6.647058823529412,4.5588235294117645,10.441176470588236,16.147058823529413,2
Weber State Wildcats,.527,.395,.672,9.59375,23.21875,13.65625,6.625,2.4375,16.09375,19.09375,1
Winthrop Eagles,.555,.360,.624,12.411764705882353,25.205882352941178,16.676470588235293,7.882352941176471,3.7058823529411766,13.088235294117647,17.176470588235293,2
Wisconsin Badgers,.510,.352,.688,11.222222222222221,23.72222222222222,13.722222222222221,5.75,3.2222222222222223,11.305555555555555,15.305555555555555,2
Wright State Raiders,.476,.347,.732,10.121212121212121,22.0,12.181818181818182,5.9393939393939394,1.5151515151515151,12.121212121212121,17.393939393939394,1
Xavier Musketeers,.530,.390,.741,10.794117647058824,22.91176470588235,14.941176470588236,5.617647058823529,3.5294117647058822,12.647058823529411,17.764705882352942,2
